tag,description,potential_paste_1,code_1,potential_paste_2,code_2,potential_paste_3,code_3,notes
alchemy_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of alchemy.,"""14"".getav alchemy >= 100",,,,,All code column(s) don't actually do anything (yet?). They're for potential future reference
alteration_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the Alteration school of magic.,"""14"".getav alteration >= 100",,,,,
archery_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of archery.,"""14"".getav archery >= 100",,,,,
block_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master with a shield/blocking.,"""14"".getav block >= 100",,,,,
conjuration_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the Conjuration school of magic.,"""14"".getav conjuration >= 100",,,,,
destruction_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the Destruction school of magic.,"""14"".getav destruction >= 100",,,,,
enchanting_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of Enchanting magic.,"""14"".getav enchanting >= 100",,,,,
heavy_armor_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the use of heavy armor.,"""14"".getav heavyarmor >= 100",,,,,
illusion_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the Illusion school of magic.,"""14"".getav illusion >= 100",,,,,
light_armor_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the use of light armor.,"""14"".getav lightarmor >= 100",,,,,
lockpicking_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the art of lockpicking.,"""14"".getav lockpicking >= 100",,,,,
one_handed_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of one-handed melee weapons.,"""14"".getav onehanded >= 100",,,,,
pickpocketing_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the art of pickpocketing.,"""14"".getav pickpocket >= 100",,,,,
restoration_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the Restoration school of magic.,"""14"".getav archery >= 100",,,,,
smithing_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the smithing craft.,"""14"".getav smithing >= 100",,,,,
sneak_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the art of stealth/sneaking.,"""14"".getav sneak >= 100",,,,,
speech_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of the art of speechcraft/persuasion/bartering.,"""14"".getav speechcraft >= 100",,,,,
two_handed_trainer,,Awareness Addendum: They are aware that {player_name} (the player) has become a master of two-handed melee weapons.,"""14"".getav twohanded >= 100",,,,,
blacksmith,,custom,,,,,,
bard,,custom,,,,,,
vampire,,custom,,,,,,
vampire_detector,,Awareness Addendum: Aware that {player_name} (the player) is a vampire.,show PlayerIsVampire = 1,,,,,
mortal_detector,,Awareness Addendum: Aware that {player_name} (the player) is a mortal.,show PlayerIsVampire = 0,,,,,
werewolf_detector,,Awareness Addendum: Aware that {player_name} (the player) is a werewolf/lycanthrope.,show PlayerIsWerewolf = 0,,,,,
follower,,Addendum: They are now willing to follow {player_name} (the player) on adventures.,,,,,,This tag is not assigned to anyone in the base csv
bandit,,custom,,,,,,
guard,,custom,,,,,,
greybeards,,custom,,,,,,
blades,,custom,,,,,,
dragon,,"Dragon Awareness Update: Dragons are generally aware that {player_name} (the Dovahkiin) has defeated Alduin, and that {player_name} has been ever-growing in power since. Many dragons now submit to {player_name}, while others are more stubborn/prideful.",,"Dragon Awareness Update: Dragons are generally aware that {player_name} (the Dovahkiin) has defeated Alduin, and well as Miraak, and that {player_name} has been ever-growing in power since. Many dragons now submit to {player_name}, while others are more stubborn/prideful.",,,,
forsworn,,"Events Update: King Madanach (previously believed dead by most) and a group of his Forsworn followers has escaped Cihdna Mine, now settling in Druadach Redoubt.",,,,,,
vigil_of_stendarr,,custom,,,,,,
alik'r,,custom,,,,,,
player_blood-kin_status,,,,,,,,
talking_animals_toggle,,Overriding System Addendum: Any potentially existing (elsewhere in this prompt) instructions prohibiting the verbal speaking of this animal during this roleplay are hereby voided. This animal is to be considered temporarily sapient and capable of verbal speech; as if {player_name} (the player) had used a Speak with Animals spell.,,,,,,
player_wearing_amulet_of_mara,,Awareness Addendum: Aware that {player_name} is currently wearing an amulet of Mara.,,,,,,
the_break_of_dawn_quest,,,,,,,,
a_night_to_remember_quest,,,,,,,,
khajiit_caravans,,custom,,,,,,
ri'saad's_caravan,,custom,,,,,,
khayla_status,,Events Update: Khayla has died.,,,,,,
atahbah_status,,Events Update: Atahbah has died.,,,,,,
ma'randru-jo_status,,Events Update: Ma'randru-Jo has died.,,,,,,
ahkari's_caravan,,custom,,,,,,
ahkari_status,,Events Update: Ahkari has died.,,,,,,
dro'marash_status,,Events Update: Dro'Marash has died.,,,,,,
kharjo_status,,Events Update: Kharjo has died.,,,,,,
amulet_of_the_moon_quest,,"Events Update: {player_name} has retrieved Kharjo's moon amulet, and returned it to him. Kharjo is very grateful for this. If asked, he will likely be willing to accompany {player_name} on their travels for a time; after which he will surely catch back up with Ahkari's caravan.",,,,,,
zaynabi_status,,Events Update: Zaynabi has died.,,,,,,
ma'dran's_caravan,,custom,,,,,,
ma'dran_status,,Events Update: Ma'dran has died.,,,,,,
ma'jhad_status,,Events Update: Ma'jhad has died.,,,,,,
ra'zhinda_status,,Events Update: Ra'zhinda has died.,,,,,,
stormcloaks,,custom,,,,,,
imperial_legion,,custom,,,,,,
player_stormcloaks_rank,,,,,,,,
player_imperial_legion_rank,,,,,,,,
civil_war,,"Events Update: The Imperial Legion has decisively defeated the Stormcloak rebellion and reclaimed full control of the province, effectively ending Skyrim's civil war.",,"Events Update: The Stormcloak rebellion has decisively defeated the Imperial Legion's forces within Skyrim and taken full control of the province, effectively ending Skyrim's civil war.",,,,"This tag is gonna be assigned quite liberally in the csv. I recommend using it to inform of the final civil war outcome, but not to give more detailed updates on war developments; use the civil_war_updates tag for that, which is gonna be distributed to only the relatively few NPCs that should really care and be informed about civil war updates."
civil_war_updates,,maybe use tag recursion?,,,,,,"Use for war-related updates, of which only relatively few NPCs (ones that care and are informed enough) will be made aware. Don't use this to inform of final civil war outcome."
unbound_quest,,Events Update: Helgen has been utterly destroyed by a terrible dragon.,,,,,,
the_way_of_the_voice_quest,,"Events Update: Heeding the Greybeards' summons, {player_name} (the player) has met with Arngeir and the Greybeards at High Hrothgar, who confirmed {player_name}'s Dragonborn nature.",,,,,,
a_blade_in_the_dark_quest,,"Events Update: Delphine witnessed {player_name} (the player) fight and kill, and absorb the soul of the dragon that was resurrected by Alduin at the mound near Kynesgrove.",,,,,,
diplomatic_immunity_quest,,"Events Update: {player_name} (the player) infiltrated the Thalmor embassy as a party guest, killed some Thalmor personnel, and stole/rifled through Emissary Elenwen's documents.",,,,,,For allies like Delphine and Malborn
